No,Tanggal,Keterangan,Pemasukan,Pengeluaran,
1,18 April 2026,Sisa Qurban tahun lalu,"Rp1,626,826",,
2,18 April 2026,DP Sapi (talangan pak Furqon),"Rp1,500,000","Rp1,500,000",
3,10 May 2026,Pengumpulan sapi 21 orang @ Rp4.000.000 (dikurangi DP Pak Furqon),"Rp82,500,000",,
4,13 May 2026,DP sewa tenda (8 tenda lokal),,"Rp300,000",
5,17 May 2026,Ongkos potong sapi Bu Fijri,"Rp1,300,000",,
6,19 May 2026,Pembelian pisau 12 pcs dan sharpening 3 pcs,,"Rp842,094",
7,19 May 2026,Pembelian talenan kayu asem 5 pcs,,"Rp159,906",
8,23 May 2026,Pelunasan sapi,,"Rp68,500,000",
9,23 May 2026,Uang konsumsi ke ummahat (transfer ke Bu Siska),,"Rp1,000,000",
10,,Uang potong kambing Pak Pudji,"Rp250,000",,
11,,Pembelian cutter dan tambang,,"Rp300,000",
12,,Pelunasan sewa tenda,,"Rp1,700,000",
13,,Honor potong sapi 4 @ Rp1.000.000,,"Rp4,000,000",
14,,Honor pencacah 15 @ Rp100.000,,"Rp1,500,000",
15,,Pembelian plastik kresek,,"Rp350,000",
16,,Pembelian plastik bening (alas daging),,"Rp350,000",
17,,Pembelian plastik cor-coran (sebagai hijab),,"Rp50,000",
18,,Pengembalian ke pengqurban sapi 21 orang @ RP265.000,,"Rp5,565,000",
SALDO,,,"Rp87,176,826","Rp86,117,000","Rp1,059,826"
